merch_state,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
SC,2025-02-01,201.91000366210938,341026,1861,63.099998474121094,1598.010009765625,132.21000671386719,382.32998657226562,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
HI,2025-02-01,271.30999755859375,334467,1277,60.560001373291016,3742.18994140625,134.11000061035156,536.47998046875,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
AR,2025-02-01,166.50999450683594,323163,1454,61.310001373291016,804.8699951171875,119.84999847412109,266.35000610351562,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MT,2025-02-01,188.17999267578125,303881,1075,73.5999984741211,1097.199951171875,137.72999572753906,322.08999633789062,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
SD,2025-02-01,158.44000244140625,286457,1330,55.770000457763672,1029.52001953125,108.01000213623047,261.33999633789062,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
MD,2025-02-01,199.3699951171875,283611,1286,56.409999847412109,1915.81005859375,116.62999725341797,368.89999389648438,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
UT,2025-02-01,180.5,280225,1526,54.360000610351562,1644.9300537109375,108.73999786376953,321.67999267578125,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
WV,2025-02-01,168.0,274020,982,65.040000915527344,851.27001953125,123.94999694824219,262.510009765625,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
WY,2025-02-01,166.85000610351562,247908,941,67.389999389648438,1131.6700439453125,124.98000335693359,291.07998657226562,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
NE,2025-02-01,189.75,233910,1048,56.099998474121094,983.55999755859375,125.05000305175781,308.07000732421875,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:26:31.003650 UTC
